"Date Stamped","Registrant Name","Registration Number","Document Type","Short Form Name","Foreign Principal Name","Foreign Principal Country","Url"
"08/12/2022","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20220812-36.pdf"
"08/12/2022","BLJ Worldwide LTD","5875","Short-Form","Brown, Brittany"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20220812-182.pdf"
"06/13/2022","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20220613-34.pdf"
"06/13/2022","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20220613-35.pdf"
"05/20/2022","BLJ Worldwide LTD","5875","Exhibit C"," "," "," ","https://efile.fara.gov/docs/5875-Exhibit-C-20220520-3.pdf"
"05/20/2022","BLJ Worldwide LTD","5875","Amendment"," "," "," ","https://efile.fara.gov/docs/5875-Amendment-20220520-27.pdf"
"02/02/2021","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20210202-33.pdf"
"08/31/2020","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20200831-32.pdf"
"08/31/2020","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20200831-31.pdf"
"08/31/2020","BLJ Worldwide LTD","5875","Exhibit AB"," ","The Islamic Republic of Pakistan in the United States","PAKISTAN","https://efile.fara.gov/docs/5875-Exhibit-AB-20200831-55.pdf"
"08/19/2019","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20190819-30.pdf"
"04/29/2019","BLJ Worldwide LTD","5875","Short-Form","Holtzman, Emily"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20190429-180.pdf"
"04/29/2019","BLJ Worldwide LTD","5875","Short-Form","Catsaros, Oktavia"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20190429-178.pdf"
"04/29/2019","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20190429-28.pdf"
"10/12/2018","BLJ Worldwide LTD","5875","Short-Form","Kohns, Daniel"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20181012-174.pdf"
"10/12/2018","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20181012-27.pdf"
"10/12/2018","BLJ Worldwide LTD","5875","Short-Form","Hutton, Marissa"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20181012-176.pdf"
"09/07/2018","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20180907-26.pdf"
"09/07/2018","BLJ Worldwide LTD","5875","Short-Form","Quevedo Vallejo, Mariana"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20180907-168.pdf"
"09/07/2018","BLJ Worldwide LTD","5875","Short-Form","Montgomery, Esme Helen"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20180907-172.pdf"
"09/07/2018","BLJ Worldwide LTD","5875","Short-Form","Hom, Ryan Lee"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20180907-170.pdf"
"09/07/2018","BLJ Worldwide LTD","5875","Exhibit AB"," ","Ministry of Economy and Finance of the Republic of Panama","PANAMA","https://efile.fara.gov/docs/5875-Exhibit-AB-20180907-54.pdf"
"09/21/2017","BLJ Worldwide LTD","5875","Exhibit AB"," ","Direccion Nacional de Fronteras v Limites del Estado (DIFROL) Ministry of Foreign Affairs, Republic of Chile","CHILE","https://efile.fara.gov/docs/5875-Exhibit-AB-20170921-52.pdf"
"09/21/2017","BLJ Worldwide LTD","5875","Exhibit AB"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/5875-Exhibit-AB-20170921-53.pdf"
"09/21/2017","BLJ Worldwide LTD","5875","Amendment"," "," "," ","https://efile.fara.gov/docs/5875-Amendment-20170921-26.pdf"
"09/21/2017","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20170921-25.pdf"
"06/29/2017","BLJ Worldwide LTD","5875","Exhibit AB"," ","Embassy of the People's Republic of China in the United States","CHINA","https://efile.fara.gov/docs/5875-Exhibit-AB-20170629-51.pdf"
"06/27/2017","BLJ Worldwide LTD","5875","Exhibit AB"," ","Direccion Nacional de Fronteras y Limites del Estado (DIFROL) Ministry of Foreign Affairs Republic of Chile","CHILE","https://efile.fara.gov/docs/5875-Exhibit-AB-20170627-50.pdf"
"06/27/2017","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20170627-24.pdf"
"05/26/2017","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20170526-23.pdf"
"05/26/2017","BLJ Worldwide LTD","5875","Short-Form","Ventura, Lucas Della"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20170526-166.pdf"
"05/26/2017","BLJ Worldwide LTD","5875","Exhibit AB"," ","Ministry of Foreign Affairs, Republic of Chile","CHILE","https://efile.fara.gov/docs/5875-Exhibit-AB-20170530-49.pdf"
"03/22/2016","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20160322-22.pdf"
"03/22/2016","BLJ Worldwide LTD","5875","Short-Form","Vallejo, Mariana Quevedo"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20160322-164.pdf"
"08/07/2015","BLJ Worldwide LTD","5875","Exhibit AB"," ","Republic of Ecuador","ECUADOR","https://efile.fara.gov/docs/5875-Exhibit-AB-20150807-48.pdf"
"08/07/2015","BLJ Worldwide LTD","5875","Exhibit AB"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/5875-Exhibit-AB-20150807-47.pdf"
"08/07/2015","BLJ Worldwide LTD","5875","Amendment"," "," "," ","https://efile.fara.gov/docs/5875-Amendment-20150807-25.pdf"
"08/07/2015","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20150807-21.pdf"
"02/04/2015","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20150204-20.pdf"
"02/04/2015","BLJ Worldwide LTD","5875","Short-Form","Beck, James"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20150204-162.pdf"
"07/31/2014","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20140731-19.pdf"
"07/31/2014","BLJ Worldwide LTD","5875","Short-Form","Carmona, Ali Daniel Vazquez"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20140731-160.pdf"
"07/31/2014","BLJ Worldwide LTD","5875","Short-Form","Martinez, Suzette"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20140731-158.pdf"
"02/06/2014","BLJ Worldwide LTD","5875","Short-Form","Gutierrez, Darienne"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20140206-152.pdf"
"02/06/2014","BLJ Worldwide LTD","5875","Short-Form","Huerta, Maritza"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20140206-154.pdf"
"02/06/2014","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20140206-18.pdf"
"02/06/2014","BLJ Worldwide LTD","5875","Exhibit AB"," ","Emirates Center for Strategic Studies & Research via Adam Friedman Associates, LLC","UNITED ARAB EMIRATES","https://efile.fara.gov/docs/5875-Exhibit-AB-20140206-46.pdf"
"02/06/2014","BLJ Worldwide LTD","5875","Short-Form","Banks-Brooks, John"," "," ","https://efile.fara.gov/docs/5875-Short-Form-20140206-156.pdf"
"08/29/2013","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20130829-17.pdf"
"02/07/2013","BLJ Worldwide LTD","5875","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5875-Supplemental-Statement-20130207-16.pdf"
"01/10/2013","BLJ Worldwide LTD","5875","Exhibit AB"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/5875-Exhibit-AB-20130110-45.pdf"
"01/10/2013","BLJ Worldwide LTD","5875","Amendment"," "," "," ","https://efile.fara.gov/docs/5875-Amendment-20130110-24.pdf"
"12/12/2012","Brown Lloyd James","5875","Amendment"," "," "," ","https://efile.fara.gov/docs/5875-Amendment-20121212-23.pdf"
