"Date Stamped","Registrant Name","Registration Number","Document Type","Short Form Name","Foreign Principal Name","Foreign Principal Country","Url"
"12/21/2022","BGR Government Affairs, LLC","5430","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/5430-Supplemental-Statement-20221221-50.pdf"
"12/13/2022","BGR Government Affairs, LLC","5430","Informational Materials"," ","Government of the People's Republic of Bangladesh, Embassy","BANGLADESH","https://efile.fara.gov/docs/5430-Informational-Materials-20221213-262.pdf"
"12/13/2022","BGR Government Affairs, LLC","5430","Short-Form","Turner, Fred"," "," ","https://efile.fara.gov/docs/5430-Short-Form-20221213-426.pdf"
"12/13/2022","BGR Government Affairs, LLC","5430","Informational Materials"," ","Government of the People's Republic of Bangladesh, Embassy","BANGLADESH","https://efile.fara.gov/docs/5430-Informational-Materials-20221213-263.pdf"
"12/13/2022","BGR Government Affairs, LLC","5430","Informational Materials"," ","Government of the People's Republic of Bangladesh, Embassy","BANGLADESH","https://efile.fara.gov/docs/5430-Informational-Materials-20221213-264.pdf"
"12/13/2022","BGR Government Affairs, LLC","5430","Informational Materials"," ","Government of the People's Republic of Bangladesh, Embassy","BANGLADESH","https://efile.fara.gov/docs/5430-Informational-Materials-20221213-265.pdf"
"12/02/2022","BGR Government Affairs, LLC","5430","Informational Materials"," ","Muslim World League","SAUDI ARABIA","https://efile.fara.gov/docs/5430-Informational-Materials-20221202-261.pdf"
"11/21/2022","BGR Government Affairs, LLC","5430","Informational Materials"," ","Government of the People's Republic of Bangladesh, Embassy","BANGLADESH","https://efile.fara.gov/docs/5430-Informational-Materials-20221121-259.pdf"
"11/21/2022","BGR Government Affairs, LLC","5430","Informational Materials"," ","Muslim World League","SAUDI ARABIA","https://efile.fara.gov/docs/5430-Informational-Materials-20221121-260.pdf"
"11/15/2022","BGR Government Affairs, LLC","5430","Informational Materials"," ","Government of the Cooperative Republic of Guyana","GUYANA","https://efile.fara.gov/docs/5430-Informational-Materials-20221115-256.pdf"
"11/15/2022","BGR Government Affairs, LLC","5430","Informational Materials"," ","Government of the Cooperative Republic of Guyana","GUYANA","https://efile.fara.gov/docs/5430-Informational-Materials-20221115-257.pdf"
"11/15/2022","BGR Government Affairs, LLC","5430","Informational Materials"," ","Government of the Cooperative Republic of Guyana","GUYANA","https://efile.fara.gov/docs/5430-Informational-Materials-20221115-258.pdf"
"11/15/2022","BGR Government Affairs, LLC","5430","Amendment"," "," "," ","https://efile.fara.gov/docs/5430-Amendment-20221115-75.pdf"
"11/15/2022","BGR Government Affairs, LLC","5430","Exhibit AB"," ","Government of Panama","PANAMA","https://efile.fara.gov/docs/5430-Exhibit-AB-20221115-117.pdf"
